user_id,product_id,action,category,price,timestamp
17,136,add_to_cart,Electronics,273.77,2024-12-21 00:14:50.501787
6,148,purchase,Clothing,283.65,2024-11-04 03:32:12.501807
12,124,add_to_cart,Books,752.86,2024-09-11 01:19:30.501814
8,162,add_to_cart,Electronics,413.98,2025-01-30 17:05:33.501820
8,137,view,Electronics,466.68,2024-08-23 21:11:29.501825
7,172,purchase,Electronics,104.27,2025-01-21 07:56:35.501831
20,125,purchase,Toys,943.98,2024-10-21 01:42:44.501836
24,118,view,Electronics,904.4,2024-11-30 21:05:37.501841
23,165,add_to_cart,Home,158.89,2024-12-30 19:49:36.501846
16,110,view,Toys,673.25,2024-11-01 23:11:43.501851
6,141,add_to_cart,Toys,203.86,2024-10-03 22:33:16.501856
41,146,purchase,Toys,544.01,2024-09-20 22:54:16.501861
34,157,view,Electronics,886.79,2024-10-07 02:36:30.501866
18,103,add_to_cart,Books,658.26,2025-01-12 00:29:00.501872
10,142,purchase,Home,268.51,2024-08-24 14:06:16.501877
8,150,add_to_cart,Books,107.89,2024-12-05 05:44:20.501882
16,123,add_to_cart,Home,301.02,2024-12-23 07:40:08.501887
11,198,view,Home,609.44,2024-10-22 13:14:58.501892
25,101,view,Books,793.74,2024-10-29 20:52:36.501897
37,135,view,Books,205.48,2025-01-08 14:42:14.501902
27,158,view,Books,626.51,2025-02-02 18:21:43.501907
47,126,purchase,Clothing,516.44,2024-10-01 09:56:43.501912
30,136,purchase,Home,40.54,2024-12-10 05:40:10.501917
38,131,add_to_cart,Clothing,495.88,2024-09-03 09:12:23.501922
18,121,view,Home,321.73,2024-11-24 02:16:44.501927
33,152,purchase,Books,380.55,2024-09-16 17:01:31.502105
36,171,purchase,Toys,310.36,2024-09-24 06:11:39.502272
7,168,add_to_cart,Books,140.79,2025-01-28 23:11:51.502300
10,183,view,Books,772.4,2025-02-01 14:34:56.502311
22,153,add_to_cart,Toys,333.44,2024-12-23 08:15:35.502321
38,189,purchase,Clothing,979.2,2025-01-31 22:58:09.502330
35,110,purchase,Books,206.71,2024-09-26 02:52:35.502340
18,140,add_to_cart,Books,918.48,2025-01-08 17:05:58.502349
1,155,add_to_cart,Toys,179.21,2024-09-01 13:32:46.502360
18,194,view,Electronics,110.88,2024-12-18 10:57:24.502369
26,191,purchase,Toys,490.21,2024-09-30 12:53:54.502379
9,157,view,Electronics,937.73,2024-10-06 18:32:27.502388
48,146,purchase,Home,151.56,2025-01-16 04:33:56.502398
48,155,add_to_cart,Clothing,679.26,2024-10-13 05:48:28.502407
16,158,add_to_cart,Electronics,942.16,2024-09-20 09:41:10.502417
2,147,view,Home,39.97,2024-11-28 11:14:55.502426
39,168,purchase,Home,550.3,2025-01-10 04:48:54.502436
36,108,view,Clothing,27.72,2024-09-05 07:43:39.502446
33,109,view,Toys,684.41,2025-01-15 15:42:37.502455
3,192,purchase,Home,852.51,2024-11-06 17:13:35.502464
13,116,purchase,Electronics,331.99,2024-09-14 08:06:04.502474
15,124,purchase,Home,368.12,2024-08-31 17:12:49.502483
38,182,add_to_cart,Clothing,183.11,2024-09-10 13:04:13.502492
21,155,add_to_cart,Toys,489.29,2024-10-18 15:48:06.502502
35,177,purchase,Electronics,508.73,2024-12-24 06:43:22.502512
25,179,purchase,Electronics,67.94,2024-09-20 22:18:56.502552
16,170,purchase,Toys,944.81,2024-12-06 04:20:47.502565
31,143,view,Books,459.08,2024-10-02 11:16:50.502576
31,123,view,Home,529.17,2024-11-05 20:03:21.502586
11,153,view,Toys,951.45,2024-12-11 21:36:20.502596
12,140,view,Books,712.61,2024-11-15 21:25:46.502625
23,145,view,Books,140.51,2025-01-04 12:33:54.502635
25,113,add_to_cart,Home,974.78,2025-01-03 21:59:09.502641
34,104,purchase,Clothing,981.45,2024-10-05 14:57:49.502647
43,153,purchase,Clothing,416.78,2024-11-07 04:26:00.502652
18,119,purchase,Clothing,622.35,2024-11-01 13:21:17.502657
17,186,add_to_cart,Home,13.83,2024-11-02 11:24:24.502662
5,173,add_to_cart,Clothing,749.87,2024-11-03 23:09:01.502667
22,188,view,Books,659.03,2024-10-03 06:13:55.502672
33,106,purchase,Electronics,10.26,2024-12-18 16:59:18.502677
36,173,add_to_cart,Books,181.58,2024-08-21 07:27:39.502683
6,159,view,Clothing,246.73,2024-11-15 16:42:48.502688
50,197,view,Books,940.76,2024-08-22 12:23:42.502693
5,156,view,Electronics,249.88,2024-10-17 05:28:01.502698
32,146,view,Toys,315.86,2024-12-28 18:53:28.502703
50,163,add_to_cart,Home,535.38,2024-09-30 03:32:50.502708
19,106,purchase,Clothing,509.14,2024-11-27 17:09:29.502713
8,104,view,Home,134.58,2024-11-23 12:22:21.502718
30,123,view,Toys,140.76,2024-11-04 04:47:14.502723
30,127,purchase,Toys,980.0,2024-09-01 21:04:18.502729
19,135,view,Toys,359.15,2024-11-23 04:04:24.502734
11,181,add_to_cart,Home,998.13,2024-09-13 02:38:06.502738
49,180,add_to_cart,Clothing,968.58,2025-01-15 08:49:45.502743
42,120,add_to_cart,Clothing,821.21,2025-02-06 10:36:34.502748
49,140,add_to_cart,Home,712.71,2024-11-19 23:22:40.502753
2,145,view,Home,627.43,2024-09-17 10:06:10.502757
17,155,add_to_cart,Home,431.9,2024-11-17 21:29:41.502761
24,161,add_to_cart,Clothing,697.0,2024-10-23 16:43:26.502766
21,173,add_to_cart,Books,23.41,2024-10-01 07:32:17.502770
40,170,purchase,Home,808.37,2024-09-29 03:51:29.502774
34,116,purchase,Electronics,486.03,2024-11-23 01:37:16.502779
15,165,view,Home,18.78,2024-10-09 04:49:46.502783
40,118,add_to_cart,Clothing,181.94,2025-02-06 00:01:45.502787
10,179,view,Electronics,935.87,2024-10-03 10:27:21.502792
44,140,purchase,Toys,420.83,2025-02-03 15:46:44.502796
3,150,purchase,Books,799.91,2025-01-10 04:57:09.502801
44,138,view,Home,12.5,2025-01-06 11:23:34.502805
37,175,view,Books,873.53,2024-11-05 23:04:45.502810
33,188,add_to_cart,Home,607.82,2024-09-15 23:59:39.502814
45,161,add_to_cart,Home,412.62,2025-01-11 16:43:05.502819
